549,2026/04/29 16:36:03 HST
# 2013-Jul-12, MLB, added config for 13AQ28-110 AND 13B-Q-91,,,,,,,,,,,,
# 2014-Jul-17, REM, edited IR Texp for SB+SXD+32 0.45 arcsec slit from 8 sec to 7 sec,,,,,,,,,,,,
# 2014-Aug-06, astephens, modified 0.15/pix 32 l/mm 1.47-1.80 1.0 arcsec slit exposure time from 0.24s to 0.38s,,,,,,,,,,,,
# 2018-Oct-15, astephens, added configurations for 0.05/pix + 111 l/m + LXD + 0.10 arcsec slit,,,,,,,,,,,,
# 2019-Feb-03, astephens, change long camera, long slit, 111 l/mm, 3.36um, 0.1 arcsec slit, to work for both well depths,,,,,,,
# 2022-Jan-21, astephens and mrawlings, add config: 0.05/pix, 111 l/mm, No, 4.40-4.97um, 0.2 arcsec slit, Shallow, 4 seconds,,,,,,
# 2022-Feb-01, astephens and mrawlings, add config: 0.05/pix, 10 l/mm, No, 2.8-4.2 um, 0.45 arcsec slit, Shallow, 0.2 seconds,,,,,,
# 2022-Jun-06, astephens, add LR-IFU configs,,,,,,,,,,,,
# 2022-Jul-04, astephens, add short-camera 0.15 arcsec slit configs,,,,,,,,,,,,
# 2023-Jun-01, astephens, add HR-IFU configs,,,,,,,,,,,,
# 2023-Oct-30, astephens and mrawlings, add config: 0.05/pix, 111 l/mm, 0.30 arcsec, Shallow,,,,,,,,,
# 2023-Dec-20, astephens and blemaux, add config: 0.05/pix, 32 l/mm, HR-IFU, Shallow, 3.95um,,,,,,,,
# 2024-Feb-06, astephens and hsuh, add deep well config: 0.15/pix, 32 l/mm, 1.65um, LR-IFU,,,,,,,,,
# 2024-Jul-25, astephens, add shallow-well flat for LR 111 4.05um 0.1 arcsec slit,,,,,,,,,,,,
# 2025-Jan-17, astephens, add shallow-well LR 10 0.1 arcsec slit at 3.7um,,,,,,,,,,,,
# 2025-Apr-04, bclemaux," modified 0.15""/pix", 111 l/mm," 0.3""-wide slit", 1.25-1.37um to avoid >5% non-linearity,,,,,,,,,
# 2025-Dec-16, bclemaux, modified many SR exp. times and # of obs. after testing the current fiducial values with new SR camera + current GCAL env.,,,,,,,,,,,,
# 2026-Apr-29, bclemaux, added shutter open flats for LB LXD 111 l/mm setups in addition to shutter closed flats,,,,,,,,,,,,
#,,,,,,,,,,,,,,
Mode,Pixel Scale,Disperser,Cross Dispersed,Central Wavelength,Focal Plane Unit,Well Depth,Calibration Lamps,Calibration Shutter,Calibration Filter,Calibration Diffuser,Calibration Observe,Calibration Exposure Time,Calibration Coadds,Calibration Basecal
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,1.0 arcsec,Shallow,IR grey body - high,Open,NIR balance,IR,6,5,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.30 arcsec,Shallow,IR grey body - high,Open,NIR balance,IR,6,20,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.15 arcsec,Shallow,IR grey body - high,Open,none,IR,8,1.7,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.675 arcsec,Shallow,IR grey body - high,Open,NIR balance,IR,6,7.5,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.20 arcsec,Shallow,IR grey body - high,Open,none,IR,3,1.3,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.45 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,8,2.1,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,1.0 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,1.44,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.30 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,3.6,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.15 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,20,7.2,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.675 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,1.8,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.20 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,8,6,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.10 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,20,8,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,pinhole 0.1,Shallow,Quartz Halogen,Closed,NIR balance,IR,1,12,3,Day
Spectroscopy,"0.05""/pix",10 l/mm grating,LXD,0.9 - 2.56,0.10 arcsec,Shallow,Quartz Halogen ,Closed,ND2.0,IR,8,13.2,1,Night
#,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.03 - 1.17,HR-IFU,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,6,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.03 - 1.17,0.10 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,16.8,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.03 - 1.17,0.15 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,9.24,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.03 - 1.17,0.20 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,8.7,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.03 - 1.17,0.30 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,4.8,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.03 - 1.17,0.45 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,2.94,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.03 - 1.17,0.675 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,2.16,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.03 - 1.17,1.0 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,1.44,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.03 - 1.17,pinhole 0.1,Shallow,Quartz Halogen,Closed,NIR balance,IR,1,12,3,Day
#,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.17 - 1.37,HR-IFU,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,3,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.17 - 1.37,0.10 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,13.8,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.17 - 1.37,0.15 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,7.8,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.17 - 1.37,0.20 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,5.4,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.17 - 1.37,0.30 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,3.6,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.17 - 1.37,0.45 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,2.28,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.17 - 1.37,0.675 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,1.56,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.17 - 1.37,1.0 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,1.08,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.17 - 1.37,pinhole 0.1,Shallow,Quartz Halogen,Closed,NIR balance,IR,1,12,3,Day
#,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.47 - 1.80,HR-IFU,Shallow,Quartz Halogen ,Closed,ND1.0,IR,10,1.4,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.47 - 1.80,0.10 arcsec,Shallow,Quartz Halogen ,Closed,ND2.0,IR,10,11.4,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.47 - 1.80,0.15 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,7.2,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.47 - 1.80,0.20 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,4.74,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.47 - 1.80,0.30 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,3,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.47 - 1.80,0.45 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,2.1,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.47 - 1.80,0.675 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,1.32,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.47 - 1.80,1.0 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,0.9,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.47 - 1.80,pinhole 0.1,Shallow,Quartz Halogen,Closed,NIR balance,IR,1,8.28,3,Day
#,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.91 - 2.49,HR-IFU,Shallow,IR grey body - high,Open,none,IR,6,3.7,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.91 - 2.49,0.10 arcsec,Shallow,IR grey body - high,Open,ND1.0,IR,6,6.7,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.91 - 2.49,0.15 arcsec,Shallow,IR grey body - high,Open,ND1.0,IR,6,3.7,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.91 - 2.49,0.20 arcsec,Shallow,IR grey body - high,Open ,ND1.0,IR,6,2.7,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.91 - 2.49,0.30 arcsec,Shallow,IR grey body - high,Open,none,IR,6,0.7,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.91 - 2.49,0.45 arcsec,Shallow,IR grey body - high,Open,ND1.0,IR,6,1.18,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.91 - 2.49,0.675 arcsec,Shallow,IR grey body - high,Open,ND1.0,IR,6,0.8,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.91 - 2.49,1.0 arcsec,Shallow,IR grey body - high,Open,ND1.0,IR,6,0.5,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,1.91 - 2.49,pinhole 0.1,Shallow,IR grey body - high,Open,none,IR,1,5,2,Day
#,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",10 l/mm grating,No,2.8 - 4.2,HR-IFU,Deep,IR grey body - high,Open,none,IR,8,4,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,2.8 - 4.2,0.10 arcsec,Shallow,IR grey body - high,Open,none,IR,8,1.3,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,2.8 - 4.2,0.10 arcsec,Deep,IR grey body - high,Open,none,IR,8,2,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,2.8 - 4.2,0.15 arcsec,Deep,IR grey body - high,Open,none,IR,10,1.3,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,2.8 - 4.2,0.20 arcsec,Deep,IR grey body - high,Open,none,IR,10,1,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,2.8 - 4.2,0.30 arcsec,Deep,IR grey body - high,Open,none,IR,10,0.6,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,2.8 - 4.2,0.45 arcsec,Shallow,IR grey body - high,Open,none,IR,10,0.2,2,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,2.8 - 4.2,0.45 arcsec,Deep,IR grey body - high,Open,none,IR,10,0.45,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,2.8 - 4.2,0.675 arcsec,Deep,IR grey body - high,Open,none,IR,10,0.3,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,2.8 - 4.2,1.0 arcsec,Deep,IR grey body - high,Open,none,IR,10,0.2,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,No,2.8 - 4.2,pinhole 0.1,Deep,IR grey body - high,Open,none,IR,3,2,1,Day
#,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,0.10 arcsec,Shallow,IR grey body - high,Open,none,IR,5,3,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,0.15 arcsec,Shallow,IR grey body - high,Open,none,IR,8,1.7,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,0.20 arcsec,Shallow,IR grey body - high,Open,none,IR,3,1.3,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,0.30 arcsec,Shallow,IR grey body - high,Open,NIR balance,IR,6,20,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,0.45 arcsec,Shallow,IR grey body - high,Open,NIR balance,IR,8,10,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,0.675 arcsec,Shallow,IR grey body - high,Open,NIR balance,IR,6,7.5,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,1.0 arcsec,Shallow,IR grey body - high,Open,NIR balance,IR,6,5,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,0.10 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,20,8,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,0.15 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,20,7.2,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,0.20 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,8,6,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,0.30 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,3.6,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,0.45 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,8,2.1,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,0.675 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,1.8,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,1.0 arcsec,Shallow,Quartz Halogen,Closed,ND2.0,IR,10,1.44,1,Night
Spectroscopy,"0.05""/pix",10 l/mm grating,SXD,0.9 - 2.56,pinhole 0.1,Shallow,Quartz Halogen,Closed,NIR balance,IR,1,12,3,Day
#,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.17,HR-IFU,Shallow,Quartz Halogen,Closed,none,IR,10,8.4,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.17,0.10 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,4.2,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.17,0.15 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,2.76,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.17,0.20 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,1.92,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.17,0.30 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,1.2,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.17,0.45 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,0.84,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.17,0.675 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,5.4,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.17,1.0 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,3.84,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.17,pinhole 0.1,Shallow,Quartz Halogen,Closed,none,IR,1,1.98,3,Day
#,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.17 - 1.21,HR-IFU,Shallow,Quartz Halogen,Closed,none,IR,10,9.6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.17 - 1.21,0.10 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,4.8,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.17 - 1.21,0.15 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,3.6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.17 - 1.21,0.20 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,2.4,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.17 - 1.21,0.30 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,1.2,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.17 - 1.21,0.45 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.17 - 1.21,0.675 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,5.4,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.17 - 1.21,1.0 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,4.8,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.17 - 1.21,pinhole 0.1,Shallow,Quartz Halogen,Closed,none,IR,1,3.6,3,Day
#,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,HR-IFU,Shallow,Quartz Halogen,Closed,none,IR,10,6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,0.10 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,3,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,0.15 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,2.4,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,0.20 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,1.8,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,0.30 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,1.2,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,0.45 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,4.8,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,0.675 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,3.6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,1.0 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,2.16,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,pinhole 0.1,Shallow,Quartz Halogen,Closed,none,IR,1,2.4,3,Day
#,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,HR-IFU,Shallow,Quartz Halogen,Closed,none,IR,10,6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,0.10 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,3,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,0.15 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,2.04,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,0.20 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,1.44,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,0.30 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,0.84,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,0.45 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,4.8,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,0.675 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,3.24,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,1.0 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,2.16,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,pinhole 0.1,Shallow,Quartz Halogen,Closed,none,IR,1,1.44,3,Day
#,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.36,HR-IFU,Shallow,Quartz Halogen,Closed,none,IR,10,6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.36,0.10 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,3,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.36,0.15 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,1.8,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.36,0.20 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,1.2,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.36,0.30 arcsec,Shallow,Quartz Halogen,Closed,none,IR,10,0.72,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.36,0.45 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,3.6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.36,0.675 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,2.4,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.36,1.0 arcsec,Shallow,Quartz Halogen,Closed,ND1.0,IR,10,1.2,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.36,pinhole 0.1,Shallow,Quartz Halogen,Closed,none,IR,1,1.44,3,Day
#,,,,,,,,,,,,,,
